pigment_code	pigment_name	image_name	pigment_words	pigment_type	chemical_name	chemical_formula	properties	permanence	toxicity	history	alternative_names	
PB27	PB27-Prussian Blue	PB27-PrussianBlue	Prussian Blue	inorganic	ferric ferrocyanide/iron(III)-hexacyanoferrate(II)	Fe7(CN)18(H2O)x or C6FeN6H4N	"Prussian Blue is a semi-transparent, deep cyan-blue with a greenish undertone and a very high tinting strength unequaled by most pigments. It is similar to Phthalo Blue unless mixed with white, when it gives up intensity and becomes smoky. It can behave erratically and less reliably in oil and watercolor form depending on its manufacture. For permanent painting Phthalo Blue is considered a more reliable choice."	"Prussian Blue is lightfast and permanent in all techniques except for fresco. When mixed with Zinc White in watercolor or tempera form, it fades upon exposure to light and completely regains its chromatic strength in the dark. Modern manufacturing techniques have made this tendency less of an issue in recent years"	"Prussian Blue is moderately toxic if ingested. It will emit toxic hydrogen cyanide gas if heated, exposed to ultraviolet radiation, or treated with acid."	"""The first of the modern pigments,"" Prussian Blue is the first artificial pigment with a known history. It was discovered by accident in 1704 by the Berlin color maker Heinrich Diesbach, who was trying to create a pigment with a red hue by mixing iron sulfate and potash. The potash Diesbach purchased from a local laboratory had been contaminated by animal oil and blood during previous experimentation. The resulting mixture yielded a very pale red that changed to purple and then deep blue when he tried to concentrate it. Since previous blue pigments came from lapis lazuli, an expensive stone, Diesbach's discovery was extremely important for artists of the time."	"Berlin Blue, Bronze Blue, Iron Blue, Paris Blue, Paste Blue. Celestial Blue, Monthier Blue and Soluble Blue are varieties of Prussian Blue. Blue Lake is a reduced or let-down variety of Prussian Blue. Chinese Blue, Milori Blue, and Steel Blue are the three highest grades of Prussian Blue."	
PR254	PR254-Pyrrole Red	PR254-PyrroleRed	Pyrrole Red	"organic, aminoketone"	Bis-(p-chrolopheny)-1. 4-diketopyrrolo(3. 4-c)pyrrole	n/a	"Pyrrole Red is opaque and has strong covering power. According to manufacturer Ciba, which uses the trade name Irgazin Red, it is a Òclean, highly saturated mid shade red with high temperature resistance, excellent color strength, outstanding chemical, solvent and bleed resistance, and good weatherfastness.Ó"	Pyrrole Red is considered to have excellent lightfastness among organic pigments in its class. Tests in industrial applications have given it scores of 7-8 on the Blue Wool Scale.	"According to the Australian government's Ministry on Health and Aging, ""The notified chemical exhibited low oral and dermal toxicity in rats, did not exhibit toxic effects when administered orally to rats for 28 days, was not a skin irritant in rabbits, was not a skin sensitiser in guinea pigs, was not mutagenic in bacteria and was not clastogenic in CHO cells in culture. However, the notified chemical was a slight eye irritant in rabbits. On the basis of submitted data, the notified chemical would not be classsified as hazardous in accordance with Approved Criteria for Classifying Hazardous Substances."""	"Pyrrole Red, used as an automotive paint and as a colorant in plastics, was developed as one of a range of pigments to replace lead based pigments. In art materials, it is often used as a synthetic and lightfast replacement for carmine, a laked pigment that was originally produced from the body of the cochineal insect. It is also used to replace the older naphthol reds, organic red pigments that are sometimes only marginally lightfast and weatherfast."	"Magnacryl Red, Versal Red, Microlith Red, Unisphere Red, Cromophtol Red, Irgazin Red."	
PR264	PR264-Pyrrole Rubine	PR264-PyrroleRubine	Pyrrole Rubine	"organic, aminoanthroquinone"	"1,4-diketo-3,6-di(4'-tertiary butyl phenyl)-2,5-dihydro pyrrolo[3,4-c]pyrrole"	n/a	"This bluish red transparent pigment has high tinting strength. Diketo pyrrolo pyrrole pigments are noteworthy for their light stability, excellent weatherability, and outstanding heat stability."	Pyrrole Rubine has excellent permanence and lightfastness for an organic pigment in its color range.	Pyrrole pigments are considered to be non-toxic.	"The Pyrrole group of synthetic organic pigments was developed in the 1980s. Pyrrole Rubine was first manufactured by Ciba Specialty Chemicals under the trade name Irgazine Ruby. Although not a perfect match for alizarin crimson, Pyrrole Rubine is one of several new pigments that has helped to close a traditional gap in the gamut of artist pigments, the lack of lightfast and transparent colors in the red/blue and red/violet parts of the spectrum."	Irgazine Ruby	
PO48	PO48-Quinacridone Gold	PO48-QuinacridoneGold	Quinacridone Gold	"organic, quinacridone"	n/a	C20H12N2O2 or C20H10N2O4	"Quinacridone Gold is a high performance pigment. It lacks brightness and cleanliness in tints, and it may disperse unevenly. It has an average drying time. Quinacridone pigments have relatively low tinting strength in general. For this reason, quinacridone colors are often expensive, because more pigment is required in the formulation."	Quinacridone Gold has excellent lightfastness and is considered the most lightfast pigment in its shade range.	"Quinacridone gold is not considered toxic. Overexposure to quinacridone pigments may cause skin irritation. Quinicridone pigments contain a compound found to be a skin, eye, and respiratory irritant."	"Although quinacridone compounds became known in the late 19th century, methods of manufacturing so as to make them practical for use as commercial pigments did not begin until the 1950s. Quinacridone pigments were first developed as coatings for the automotive industry, but were quickly adopted by artists."	"Pigment Orange 48, Quinacridone Orange, Quinacridone Burnt Orange"	
PR209	PR209-Quinacridone Red	PR209-QuinacridoneRed	Quinacridone Red	"organic, quinacridone"	n/a	n/a	"Quinacridone Red is a bright, clean red pigment with average drying time. Quinacridone pigments have relatively low tinting strength in general. For this reason, quinacridone colors are often expensive, because more pigment is required in the formulation"	Quinacridone Red has excellent permanence and lightfastness.	"Quinacridone Red has no known acute hazards. Overexposure to quinacridone pigments may cause skin irritation. Quinicridone pigments contain a compound found to be a skin, eye, and respiratory irritant."	"Although quinacridone compounds became known in the late 19th century, methods of manufacturing so as to make them practical for use as commercial pigments did not begin until the 1950s. Quinacridone pigments were first developed as coatings for the automotive industry, but were quickly adopted by artists."	n/a	
PV19	PV19-Quinacridone Violet	PV19-QuinacridoneViolet	Quinacridone Violet	"organic synthetic, quinacridone"	n/a	C20H12N2O2	"Quinacridone Red is a high performance, transparent pigment with an average drying time and uneven dispersal. It is another name for Quinacridone Violet (PV19) and Quinacridone Red (PR192). Quinacridone pigments have relatively low tinting strength in general. For this reason, quinacridone colors are often expensive, because more pigment is required in the formulation."	Quinacridone Violet has excellent lightfastness and is considered the most lightfast organic pigment in this shade range.	"Quinacridone Violet has no known acute hazards. Overexposure to quinacridone pigments may cause skin irritation. Quinicridone pigments contain a compound found to be a skin, eye, and respiratory irritant."	"Although quinacridone compounds became known in the late 19th century, methods of manufacturing so as to make them practical for use as commercial pigments did not begin until the 1950s. Quinacridone pigments were first developed as coatings for the automotive industry, but were quickly adopted by artists."	"Quinacridone Red (PR192), Quinacridone Red (PR19)."	
PBr7	PBr7-Raw Sienna	PBr7-RawSienna	Raw Sienna	earth	hydrated iron oxide	_-FeO3+(OH) or Fe2O3	"Raw Sienna is a moderately dull deep earth yellow with medium tinting strength and excellent transparency. It is one of the basic permanent artists pigments and is made from a form of limonite clay whose yellow-brown color results from ferric oxides. Raw Sienna is preferable to Yellow Ochre for creating flesh tones, due to its higher subtlety of color when mixed with white. It creates a bright Ochre when mixed with Cadmium Yellow and creates greens and grays when mixed with Ultramarine. Raw Sienna dries quickly."	Raw Sienna has good permanence.	Raw Sienna has no significant hazards.	"Raw Sienna has been used as a pigment since prehistoric times, although its current name came about during the Renaissance. It comes from the city of Siena, in Italy, and is short for terra di Siena, meaning earth of Siena. Sienna was famous for the mining and production of earth pigments from the Renaissance until World War II. Due to the depletion of clay deposits in Tuscany, Italian siennas now come from other areas, including Sicily and Sardinia."	"Italian Earth, Natural Brown Iron Oxide, Sienna."	
PBr7	PBr7-Raw Umber	PBr7-RawUmber	Raw Umber	earth	hydrated iron oxide	_-FeO3+(OH) or Fe2O3 _ MnO2	"Raw Umber is a cool, transparent brown ranging from yellowish brown to greenish brown. It has surprisingly good tinting strength, a high level of opacity, mixes well with greens, and is quick drying in oil form. It has excellent color properties and can create a variety of subtle, clear tints when mixed with white. It grays when mixed with blue and white. Raw Umber can tend towards chalkiness in dark mixes in oil form."	Raw Umber has excellent permanence.	"Raw Umber itself is considered non-toxic. If contaminated by manganese compounds, it may be highly toxic if inhaled and moderately toxic if ingested."	"This pigment gets its name from the Latin word umbra, meaning shadow or shade. Its full name is listed as terra di ombra, meaning earth of shadow/shade, due to its original extraction from the area of Umbria, Italy. It has been used as a pigment since prehistoric times. Currently, the finest umber comes from Cyprus."	"Chestnut Brown, Euchrome, Jacaranta Brown, Mars Brown, Raw Brown, Sicilian Brown. Cyprus Umber, Turkey Brown, and Turkey Umber are the best quality umbers."	
PR101	PR101-Red Iron Oxide	PR101-RedIronOxide	Red Iron Oxide	"earth, synthetic"	"iron oxides (synthetic), iron oxide, silica, alumina, lime, and magnesia or hydrated iron oxide"	Fe2O2 or Fe2O3  * H2O	"Red iron oxide varies in hue and transparency, depending on hydration and slight impurities. Indian Red is a slightly duller, deep brick hue with a bluish undertone. It is very dense and opaque, with excellent tinting strength and covering power. It is dependable when mixing with all other permanent pigments and yields good flesh tints when mixed with Zinc White. It is the synthetic version of PR102, which is a pigment made from earth reds, or natural red iron oxides, and the names applied to PR101 and PR102 often overlap. The synthetic red iron oxides have mostly replaced natural red iron oxides and are brighter, stronger, finer, and more permanent. Indian Red is the highest grade bluish shade. Light Red, English Red, and Venetian Red are yellowish shades. Mars Violet is a dull and subdued bluish or purplish oxide."	Red iron oxide is very lightfast with excellent permanence.	Red iron oxide has no significant hazards.	"Natural red iron oxide comes from the mineral ore hematite, called bloodstone by the ancient Greeks from the word hema, meaning blood. It is one of the oldest pigments, has been used by every major civilization, and was an important mineral for medieval alchemists. It was not widely used in artists' materials until the 17th century and was not produced in large quantities until the 18th century."	"Indian Red, Colcothar, English Red, Light Red, Mars Red, Mars Violet, Morelle Salt, Pompeian Red, Indian Red, Red Oxide, Sinopia, Spanish Red, Terra Rosa, Tuscan Red, Venetian Red, Venice Red."	
PW6	PW6-Titanium White	PW6-TitaniumWhite	Titanium White	inorganic	titanium dioxide	TiO2	"Titanium White is the most brilliant of the white pigments. It is considered an all purpose oil color useful in all techniques and the best all around white. Its masstone is neither warm nor cool, placing it somewhere between Lead White and Zinc White. It is less prone to cracking and yellowing than Lead White, but it still yellows easily. Titanium White dries slowly in oil form, more slowly than Lead White but more quickly than Zinc White. It is opaque in oil and acrylic forms and semi-opaque in watercolor form. This pigment has good chemical stability, and its tinting strength is superior to both Lead White and Zinc White."	Titanium White has excellent permanence and lightfastness.	"Titanium dioxide is highly stable and is regarded as completely non-toxic. Animal studies give no indiciation that it is absorbed biologically, even after long periods of exposure. The primary safety concern is with inhalation of fine pigment dust particles. Titanium White, if inhaled in large amounts over the course of several years, may cause a benign pneumoconiosis that is visible on x-rays. The National Institute of Occupational Safety and Health (NIOSH) considers fine titanium dioxide particles, if inhaled, to be a human carcinogen. The primary concern for artists is to avoid exposure to fine particulate dust from raw pigments."	"Titanium is the ninth most abundant element in the Earth's crust, however mineral deposits that are economical to mine are less common. Titanium dioxide was first discovered in 1821, although it could not be mass produced until 1919. Widespread use of the pigment began in the 1940s. Since that time, it has become the most commonly used white pigment. The name comes from the Latin word Titan, the name for the elder brother of Kronos and ancestor of the Titans, and from the Greek word tito, meaning day or sun."	None	
PO73	PO73-Transparent Pyrrole Orange	PO73-TransparentPyrroleOrange	Transparent Pyrrole Orange	"organic, aminoketone"	dipyrrolopyrrol	n/a	"Transparent Pyrrole Orange is a yellow-shade orange with optimum performance; high saturation and excellent durability, excellent bleed resistance, and intrinsic strength coupled with good opacity and moderate rheology. It is semi-opaque, less opaque than Cadmium Orange."	Transparent Pyrrole Orange has been demonstrated to have excellent stability and lightfastness in automotive applications.	"The Australian government's Department of Health and Aging, reported in its Summary Report: NA/238 that ""Irgazin DPP Orange 16AOA is likely to be of low oral and dermal toxicity in humans and to be non irritating or very slightly irritating to the eyes and skin. It may cause lung irritation due to its particle size."""	"Irgazin Orange was developed as a lead-free alternative opaque orange pigment. It is used in decorative, industrial, and automotive applications, often to color plastics and polymers."	"Irgazin Orange, Bright Orange, Aritint Ornage, Unisphere DPP Orange, Dipyrrolopyrrol Orange"	
PB29	PB29-Ultramarine [Blue]	PB29-Ultramarine[Blue]	Ultramarine [Blue]	inorganic	complex silicate of sodium and aluminum with sulfur	Na8-10Al6Si6O24S2-4 or Na6-8Al6Si6O24S2-4	"Ultramarine is the standard warm blue, a brilliant blue pigment that has the most purple and least green in its undertone. It has a moderate to high tinting strength and a beautiful transparency. Synthetic Ultramarine is not as vivid a blue as natural Ultramarine. Ultramarine dries slowly in oil and tends to produce clean, though granular, washes in watercolor. French Ultramarine mixes well with Alizarin colors in oil and watercolor form to create a range of purples and violets. It can dull when mixed with white in acrylic form, but mixes well with other colors. The shade varies based on manufacturer. Considered a great color for glazes, it is not suitable for frescoing."	"Ultramarine has excellent permanence, although synthetic Ultramarine is not as permanent as natural Ultramarine. It may discolor if exposed to acid because of its sulfuric content."	Ultramarine has no significant hazards.	"The name for this pigment comes from the Middle Latin ultra, meaning beyond, and mare, meaning sea, because it was imported from Asia to Europe by sea. It is a prominent component of lapis lazuli and was used on Asian temples starting in the 6th century. It was one of the most expensive pigments in 16th century Europe, worth twice its weight in gold, and so was used sparingly and when commissions were larger. Ultramarine is currently imitated by a process invented in France in 1826 by Jean Baptiste Guimet, making blue affordable to artists and extending the range of colors on their palettes."	"Artificial Ultramarine, French Blue, French Ultramarine, Gmelin's Blue, Guimet's Blue, Permanent Blue, Royal Blue, Synthetic Ultramarine. New Blue describes particular shades of Ultramarine. Armenian Blue and Lazuline Blue are names for genuine Lapiz Ultramarine. Sky Blue is a pale tone of Ultramarine."	
PR258	PR259-Ultramarine Pink	PR259-UltramarinePink	Ultramarine Pink	inorganic	n/a	n/a	Ultramarine Pink is a  low strength bluish pink that has been used for cosmetics.	n/a	Ultramarine Pink has been widely used in products that come in contact with the eyes and skin.	"Ultramarine Pink has been made from a polysulfide of sodium, potassium, lithium, or silver and aluminosilicate."	Pink Ultramarine	
PV15	PV15-Ultramarine Violet	PV15-UltramarineViolet	Ultramarine Violet	inorganic	complex silicate of sodium and aluminum with sulfur	H2Na(4-6)Al6Si6O24S2	"Ultramarine Violet is a semi-transparent, dull purple to pale violet with low tinting strength. As a pigment, it is weak in most oil applications, but it performs better in water-based mediums, pastels, and chalks. It is generally the bluest of the violet pigments, although there can be significant differences in color across brands. It is not suitable for fresco work and does not mix well with yellows. Ultramarine Violet is a variant of Ultramarine Blue, and their pigment properties are identical."	Ultramarine Violet has excellent permanence and lightfastness.	Ultramarine Violet has excellent permanence and lightfastness.	unknown	"Mineral Violet, Violet Ultramarine, Ultramarine Red."	
PG18	PG18-Viridian	PG18-Viridian	Viridian	inorganic	chromium(III)-oxide dehydrate	Cr2O3  * 2 H2O or Cr2(OH3)	"Viridian is the standard green and is stable, powerful, and cold with an emerald green undertone. It has a transparent hue, good tinting strength, a dark masstone that can be almost black at full strength, and a slow drying time in oil form. Viridian is commonly replaced by the darker, more saturated, and staining Phthalo Greens, but its properties make it a necessary part of the palette of an experienced landscape painter."	"Viridian has excellent permanence, except in high-temperature work, and is highly valued as a glazing color."	Viridian is slightly toxic.	"Viridian's name comes from the Latin viridis, meaning green. The process for manufacturing Viridian, or Transparent Oxide of Chromium, was patented by Guignet in Paris in 1859. However, it had actually been discovered by Pannetier and Binet in 1838. Viridian replaced Verdigris, which was reactive and unstable, and Emerald Green, which was a poisonous copper aceto-arsenite used as a rat poison in the sewers of Paris."	"Emerald Chromium Oxide, Emeraude Green, French Veronese Green, Guignet's Green, Pannetier's Green, Permanent Green, Smaragd Green, Transparent Oxide of Chromium, Vert Emeraude. Casali's Green and Mittler's Green are varieties of Viridian. Viridian has historically been sold under the name Emerald Green, but they are currently considered to be and are marketed as two different pigments."	
PY43	PY43-Yellow Ochre	PY43-YellowOchre	Yellow Ochre	earth	"iron(III)-oxide, hydrated"	Fe2O3  * H2O	"Yellow Ochre provides artists with earthtones from cream to brown. It has good hiding power, produces a quick drying paint, and can be safely mixed with other pigments. Its transparency varies widely from opaque shades to more transparent ones, which are valued for their use as glazes. If gypsum is present, Yellow Ochre is not suitable for frescoing. (See Brown Ochre, PY43.) PY42 is made from synthetic iron oxides. PY43 is made from natural iron oxide."	Yellow Ochre has excellent permanence because ochres are some of the most permanent pigments available.	Yellow Ochre is non-toxic unless it contains manganese.	"Ochre comes from the Greek word ochros, meaning pale yellow. It was one of the first pigments to be used by human beings, and evidence of its use has been found at 300,000 year old sites in France and the former Czechoslovakia."	"Chamois, Iron Yellow, Mars Orange, Mars Yellow, Minette, Ochre, Sil, Yellow Earth, Yellow Oxide. Varieties of Yellow Ochre include Brown Ochre, Flesh Ochre, Roman Ochre, Spruce Ochre, and Transparent Gold Ochre."	
PW4	PW4-Zinc White	PW4-ZincWhite	Zinc White	inorganic	zinc(II)-oxide	ZnO	"Zinc White is the coolest white, and it has a cold, clean masstone and a slightly bluish tint. It has less hiding power and is more transparent than other whites. It dries slowly and is good for painting wet into wet and for glazing and scumbling. Zinc White is neither as opaque nor as heavy as Lead White, its covering power is not as good, and it takes much longer to dry. However, it does not blacken when exposed to sulfur in the air as Lead White does. It is very valuable for making tints with other colors. Unmixed Zinc White dries to a brittle and dry paint film that may crack over the years, so it is not good for frescoing. It is more transparent in acrylic form than Titanium White and is the most commonly used white with gouache. Chinese White is a version of Zinc White appropriate for opaque watercolor techniques."	Zinc White has great permanence and lightfastness.	Zinc White is moderately toxic if ingested and slightly toxic if inhaled.	"Though historians are divided on who first isolated the element zinc, they agree that it was first suggested as a white pigment in 1782. Zinc White was accepted as a watercolor in 1834 and was called Chinese White due to the popularity of oriental porcelain in Europe at the time. Ten years later, a suitable oil form was produced. By the early 20th century, it had improved to the point where it was an acceptable alternative to Flake White."	"Chinese White, French White, Permanent White, Silver White, Snow White, Zinc Oxide."	
