paint_name	paint_number	temperature	sort_order	color_family	pigment_composition	pigments	lightfast_rating	opacity	staining_granulating 	other_names	history
Ultramarine Violet 193	193	Cool	290	Violets	Silicate of Sodium (PB 29) Aluminum with Sulfur (PV 15) 	"PB29-Ultramarine [Blue],PV15-Ultramarine Violet"	Excellent - LF I	Transparent	Granulating  	Blend of Ultramarine Violet and Blue.	"Ultramarine is a deep blue color and a pigment which was originally made by grinding lapis lazuli into a powder. Synthetic ultramarine is a more vivid blue than natural ultramarine, since the particles in synthetic ultramarine are smaller and more uniform than natural ultramarine and therefore diffuse light more evenly. "
Ultramarine Violet Deep 194	194	Cool	270	Violets	Silicate of Sodium (PB 29) Aluminum with Sulfur (PV 15) 	"PB29-Ultramarine [Blue],PV15-Ultramarine Violet"	Excellent - LF I	Transparent	Granulating  	Blend of Ultramarine Violet and Blue.	"Ultramarine is a deep blue color and a pigment which was originally made by grinding lapis lazuli into a powder. Synthetic ultramarine is a more vivid blue than natural ultramarine, since the particles in synthetic ultramarine are smaller and more uniform than natural ultramarine and therefore diffuse light more evenly. "
Viridian 195	195	Cool	420	Greens	Hydrous Chromium Sesquioxide (PG 18) 	PG18-Viridian	Excellent - LF I	Transparent	Granulating  	"Emerald Chromium Oxide, Emeraude Green, French Veronese Green, Guignet's Green, Pannetier's Green, Permanent Green, Smaragd Green, Transparent Oxide of Chromium, Vert Emeraude. Casali's Green and Mittler's Green are varieties of Viridian. Viridian has historically been sold under the name Emerald Green, but they are currently considered to be and are marketed as two different pigments."	very stable and powerful cold green. It's a Chromium oxide dihydrate. Guignet of Paris patented the process for manufacturing viridian or transparent oxide of chromium in 1859. 
Yellow Ochre 200	200	Earth Tones	520	Earth Tones	Natural Hydrated Iron Oxide (PY 43)	PY43-Yellow Ochre	Excellent - LF I	Semi Transparent	Granulating  	"Chamois, Iron Yellow, Mars Orange, Mars Yellow, Minette, Ochre, Sil, Yellow Earth, Yellow Oxide. Varieties of Yellow Ochre include Brown Ochre, Flesh Ochre, Roman Ochre, Spruce Ochre, and Transparent Gold Ochre."	"Earthtones from cream to brown. Yellow ochre is a natural mineral consisting of silica and clay owing its color to an iron oxyhydroxide mineral, goethite. It is found throughout the world, in many shades, in hues from yellow to brown. The best brown ochre comes from Cyprus. Used throughout history, this permanent pigment can be safely mixed with other pigments. "
											
											
											
											
											
											
											
